City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Harper,LR,79.99,scattered clouds,4.375,-7.7169,Screensaver
192,Kirksville,US,29.05,few clouds,40.1948,-92.5833,Budget Host-Village Inn
193,Eureka,US,56.19,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
195,Safaga,EG,58.95,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
196,Carnarvon,AU,83.23,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
197,Hadsund,DK,37.89,light rain,56.7148,10.1168,Færgekroen Hadsund
200,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
201,Vila Velha,BR,78.94,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
202,Manaus,BR,77.49,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
203,Vila Franca Do Campo,PT,61.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
205,Cedar City,US,39.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
